batch,jax_ms,cuda_ms,speedup,max_abs_err,passed
1,0.25968743648263626,0.07006831219769083,3.7062036794885795,6.44351854095504e-08,True
16,0.2739174997259397,0.07595237548230216,3.606437560201996,3.146124105679604e-07,True
64,0.2527206888771616,0.07314124741242267,3.4552417113170297,3.546385999864121e-07,True
256,0.29043493850622326,0.07537625060649589,3.8531359170735104,5.415440556544304e-07,True
1024,0.3343651223985944,0.07588256266899407,4.406349899608983,4.756523501736609e-07,True
4096,0.6387334360624664,0.07830956383259036,8.156518882265086,5.944370373156538e-07,True
8192,1.068274814315373,0.08988580884761177,11.884799480710871,5.809392101818744e-07,True
16384,1.8233464361401275,0.12326987780397758,14.791500313155119,6.646520057662642e-07,True
32768,3.5262514356873,0.17657619173405692,19.970140940621377,7.318445333082124e-07,True
65536,7.135928375646472,0.29176199677749537,24.45804612822314,8.372649007437616e-07,True
131072,14.637964628491318,0.5234778764133807,27.962909777168864,6.933532778058416e-07,True
262144,30.57358031219337,0.996722374111414,30.674118597417827,7.788863475854946e-07,True
524288,64.1509117485839,1.8459399980201852,34.75243605826153,8.355491898925926e-07,True
1048576,130.45930668522487,3.617865626438288,36.05974354930901,8.150919373339782e-07,True
