batch,jax_ms,cuda_ms,speedup,max_abs_err,passed
1,0.7280259414983448,0.052066690841456875,13.982566007799198,1.4029078598820632e-07,True
16,0.512128939590184,0.04770162558997981,10.73608987652114,3.5110980334263076e-07,True
64,0.4468446895771194,0.0485222481074743,9.209068149261784,6.500235944506549e-07,True
256,0.4867416246270295,0.04859206092078239,10.016896081451332,6.251571024185054e-07,True
1024,0.6300211243797094,0.056815937568899244,11.088809783622752,6.126134441397646e-07,True
4096,1.1918072486878373,0.06558100358233787,18.17305597026289,7.761472784473256e-07,True
8192,2.012442873819964,0.11082068886025809,18.159451042193037,8.048545532268747e-07,True
16384,3.690782188641606,0.16442393825855106,22.44674484586287,8.424167001752636e-07,True
32768,7.297510248463368,0.2789811260299757,26.157720245488118,9.36257255945705e-07,True
65536,14.712929998495383,0.5333431872713845,27.58623406022604,8.058200364757795e-07,True
