batch,jax_ms,cuda_ms,speedup,max_abs_err,passed
1,0.15071750021888874,0.04943025123793632,3.049094359108119,1.1664063570560046e-07,True
16,0.17229849981958978,0.054057123634265736,3.187341246369483,2.5079252385928896e-07,True
64,0.19160962619935162,0.056711123761488125,3.3786956330685785,2.907771993188035e-07,True
256,0.16011118714231998,0.05175243495614268,3.0937904134946566,4.872274383949105e-07,True
1024,0.2050715593213681,0.055227003031177446,3.713248013939821,4.238178428206396e-07,True
4096,0.3637159970821813,0.04958737554261461,7.334850717590599,5.08514334543464e-07,True
8192,0.5910844411118887,0.07537618876085617,7.841792624819558,4.7404075942392154e-07,True
16384,0.9648052509874105,0.12173337381682359,7.925560762319677,5.626785233581177e-07,True
32768,1.7811628131312318,0.17404450045432895,10.233950561388907,5.474942424976703e-07,True
65536,3.5859669369529,0.29780331169604324,12.041393752575067,5.49652585224436e-07,True
131072,7.223773627629271,0.518344750162214,13.936233800706225,5.681679750152435e-07,True
262144,15.26404437754536,1.006954440526897,15.15862462412731,6.438498243999113e-07,True
524288,32.05935893493006,1.9461105002847034,16.473555294131543,6.11132029232353e-07,True
1048576,64.54825812397758,3.826412939815782,16.869130211305727,6.710739879900451e-07,True
